time,date,session,direction,model,score,grade,should_trade,kill_switches,price,price_zone,sweep,sweep_fresh,rsi_m15,cot_pct,atr,news_blocked,news_reason,entry,sl,sl_pips,tp1,tp2,tp3,result,pnl_pips,bars_held,exit_time,tp1_hit,tp2_hit,tag
2026-03-03 14:10:00,2026-03-03,overlap,buy,structural_breakout,73.1,STRONG,True,[],5185.15,premium,bullish,True,37.31,81.6,50.65293,False,,5185.45,5205.45,200.0,5248.13,5281.03,5335.93,SPIKE_SL,-200.0,1,2026-03-03 14:12:00,False,False,SPIKE_SL
2026-03-04 20:50:00,2026-03-04,new_york,sell,fvg_continuation,71.1,STRONG,True,[],5132.15,discount,bearish,True,41.85,81.6,37.69546,False,,5132.25,5141.32,90.7,5100.0,5084.39,5050.0,SL_HIT,-90.7,106,2026-03-04 22:37:00,False,False,LOSS
2026-03-05 10:10:00,2026-03-05,london,buy,double_top_bottom_trap,77.9,STRONG,True,[],5146.12,discount,bullish,True,39.79,81.6,29.33197,False,,5146.52,5139.52,70.0,5165.76,5182.16,5200.0,SL_HIT,-70.0,3,2026-03-05 10:15:00,False,False,LOSS
2026-03-05 11:10:00,2026-03-05,london,buy,momentum_breakout,78.2,STRONG,True,[],5176.65,discount,bullish,True,57.78,81.6,29.16183,False,,5176.35,5156.35,200.0,5250.0,5281.03,5341.82,SL_HIT,-200.0,28,2026-03-05 11:39:00,False,False,LOSS
2026-03-05 13:15:00,2026-03-05,overlap,buy,double_top_bottom_trap,76.5,STRONG,True,[],5165.15,discount,bullish,True,51.5,81.6,27.34535,False,,5160.22,5154.75,54.7,5180.61,5189.02,5202.43,SL_HIT,-54.7,84,2026-03-05 15:00:00,False,False,LOSS
2026-03-05 15:20:00,2026-03-05,overlap,buy,momentum_breakout,77.5,STRONG,True,[],5108.13,discount,bullish,True,29.78,81.6,30.05717,False,,5107.83,5087.83,200.0,5165.76,5198.32,5265.27,SL_HIT,-200.0,1,2026-03-05 15:23:00,False,False,LOSS
2026-03-05 17:45:00,2026-03-05,new_york,buy,structural_breakout,74.1,STRONG,True,[],5085.83,discount,bullish,True,26.28,81.6,32.76613,False,,5086.13,5082.8,33.3,5100.0,5119.13,5140.1,BE_STOPPED,0.0,20,2026-03-05 18:06:00,True,False,BE
2026-03-05 18:45:00,2026-03-05,new_york,buy,structural_breakout,73.1,STRONG,True,[],5075.14,discount,bullish,True,32.59,81.6,34.01783,False,,5075.44,5059.95,154.9,5119.13,5150.0,5195.01,SL_HIT,-154.9,50,2026-03-05 19:36:00,False,False,LOSS
