time,date,session,direction,model,score,grade,should_trade,kill_switches,price,price_zone,sweep,sweep_fresh,rsi_m15,cot_pct,atr,news_blocked,news_reason,entry,sl,sl_pips,tp1,tp2,tp3,result,pnl_pips,bars_held,exit_time,tp1_hit,tp2_hit,tag
2026-01-02 10:00:00,2026-01-02,london,buy,choch_reversal,83.2,STRONG,True,[],4382.83,discount,bullish,True,67.15,81.6,17.56924,False,,4365.91,4360.14,57.7,4381.74,4398.61,4421.0,GHOST,0.0,0,2026-01-08 16:02:00,False,False,GHOST
2026-01-02 15:50:00,2026-01-02,overlap,buy,fvg_continuation,79.6,STRONG,True,[],4368.78,discount,bullish,False,35.17,81.6,17.58939,False,,4364.4,4357.89,65.1,4383.32,4398.61,4421.0,GHOST,0.0,0,2026-01-08 16:02:00,False,False,GHOST
2026-01-09 15:15:00,2026-01-09,overlap,sell,structural_breakout,76.6,STRONG,True,[],4466.15,premium,bullish,False,45.91,81.6,14.20189,False,,4466.6,4469.1,25.0,4455.02,4430.51,4407.73,SL_HIT,-25.0,5,2026-01-09 15:21:00,False,False,LOSS
2026-01-19 20:25:00,2026-01-19,new_york,buy,momentum_breakout,73.6,STRONG,True,[],4678.61,premium,bullish,False,63.78,81.6,13.90861,False,,4678.31,4660.24,180.7,4730.55,4785.37,4911.17,SL_HIT,-180.7,150,2026-01-20 02:27:00,False,False,LOSS
2026-01-20 16:40:00,2026-01-20,new_york,buy,momentum_breakout,81.0,STRONG,True,[],4736.67,premium,bullish,False,59.14,81.6,14.85905,False,,4736.37,4720.16,162.1,4785.37,4850.0,4911.17,OPEN_AT_END,799.0,600,2026-01-21 03:40:00,True,False,OPEN
2026-01-23 16:50:00,2026-01-23,new_york,buy,momentum_breakout,72.3,STRONG,True,[],4953.61,premium,bullish,False,56.37,81.6,22.50247,False,,4953.31,4933.31,200.0,5050.0,5161.82,5103.31,OPEN_AT_END,1216.3,600,2026-01-26 03:50:00,True,False,OPEN
