time,date,session,direction,model,score,grade,should_trade,kill_switches,price,price_zone,sweep,sweep_fresh,rsi_m15,cot_pct,atr,news_blocked,news_reason,entry,sl,sl_pips,tp1,tp2,tp3,result,pnl_pips,bars_held,exit_time,tp1_hit,tp2_hit,tag
2026-03-03 13:45:00,2026-03-03,overlap,buy,london_sweep_reverse,72.8,STRONG,True,[],5136.45,premium,bullish,True,16.77,81.3,47.75623,False,,5120.54,5105.71,148.3,5175.21,5200.0,5237.96,GHOST,0.0,8,2026-03-03 13:54:00,False,False,GHOST
2026-03-05 13:35:00,2026-03-05,overlap,buy,fvg_continuation,73.1,STRONG,True,[],5159.97,discount,bullish,True,49.26,81.3,27.34535,False,,5159.87,5154.75,51.2,5180.61,5195.01,5202.64,SL_HIT,-51.2,84,2026-03-05 15:00:00,False,False,LOSS
2026-03-10 10:00:00,2026-03-10,london,buy,choch_reversal,75.4,STRONG,True,[],5181.48,discount,bullish,True,62.75,81.3,24.87429,False,,5169.47,5161.51,79.6,5195.72,5215.89,5233.8,GHOST,0.0,11,2026-03-10 10:12:00,False,False,GHOST
2026-03-13 15:35:00,2026-03-13,overlap,buy,structural_breakout,70.3,STRONG,True,[],5102.66,discount,bullish,False,59.15,81.3,20.17075,False,,5118.42,5098.42,200.0,5183.48,5215.89,5281.03,SL_HIT,-200.0,24,2026-03-13 16:00:00,False,False,LOSS
2026-03-18 10:00:00,2026-03-18,london,sell,structural_breakout,72.2,STRONG,True,[],4994.69,discount,bullish,False,43.64,81.3,17.40944,False,,4985.54,5005.54,200.0,4900.39,4860.17,4710.69,TP3_HIT,2748.5,1391,2026-03-19 10:12:00,True,True,WIN
