time,date,session,direction,model,score,grade,should_trade,kill_switches,price,price_zone,sweep,sweep_fresh,rsi_m15,cot_pct,atr,news_blocked,news_reason,entry,sl,sl_pips,tp1,tp2,tp3,result,pnl_pips,bars_held,exit_time,tp1_hit,tp2_hit,tag
2026-01-02 10:00:00,2026-01-02,london,buy,choch_reversal,81.2,STRONG,True,[],4382.83,discount,bullish,True,67.15,81.6,17.56924,False,,4365.91,4360.14,57.7,4381.74,4398.61,4421.0,GHOST,0.0,0,2026-01-08 09:39:00,False,False,GHOST
2026-01-02 15:50:00,2026-01-02,overlap,buy,fvg_continuation,77.6,STRONG,True,[],4368.78,discount,bullish,False,35.17,81.6,17.58939,False,,4364.4,4360.53,38.7,4383.32,4398.61,4421.0,GHOST,0.0,0,2026-01-08 09:39:00,False,False,GHOST
2026-01-09 15:15:00,2026-01-09,overlap,sell,structural_breakout,76.6,STRONG,True,[],4466.15,premium,bullish,False,45.91,81.6,14.20189,False,,4466.6,4469.1,25.0,4455.02,4430.51,4407.73,SL_HIT,-25.0,5,2026-01-09 15:21:00,False,False,LOSS
2026-01-19 20:25:00,2026-01-19,new_york,buy,momentum_breakout,73.1,STRONG,True,[],4678.61,premium,bullish,False,63.78,81.6,13.90861,False,,4678.91,4674.44,44.7,4690.69,4700.0,4730.55,SL_HIT,-44.7,38,2026-01-19 21:04:00,False,False,LOSS
2026-01-20 16:40:00,2026-01-20,new_york,buy,momentum_breakout,80.5,STRONG,True,[],4736.67,premium,bullish,False,59.14,81.6,14.85905,False,,4736.97,4732.21,47.6,4750.0,4770.31,4785.37,SL_HIT,-47.6,42,2026-01-20 17:23:00,False,False,LOSS
2026-01-23 16:50:00,2026-01-23,new_york,buy,momentum_breakout,71.8,STRONG,True,[],4953.61,premium,bullish,False,56.37,81.6,22.50247,False,,4953.91,4946.86,70.5,4993.53,5000.0,5050.0,SL_HIT,-70.5,7,2026-01-23 16:58:00,False,False,LOSS
