time,date,session,direction,model,score,grade,should_trade,kill_switches,price,price_zone,sweep,sweep_fresh,rsi_m15,cot_pct,atr,news_blocked,news_reason,entry,sl,sl_pips,tp1,tp2,tp3,result,pnl_pips,bars_held,exit_time,tp1_hit,tp2_hit,tag
2026-01-02 15:25:00,2026-01-02,overlap,buy,momentum_breakout,79.9,STRONG,True,[],4378.77,discount,bullish,False,40.34,81.3,17.58939,False,,4378.47,4364.7,137.7,4421.0,4450.0,4500.0,GHOST,0.0,0,2026-01-19 17:13:00,False,False,GHOST
2026-01-12 10:50:00,2026-01-12,london,buy,momentum_breakout,73.6,STRONG,True,[],4595.93,premium,bullish,False,71.11,81.3,18.3347,False,,4595.63,4575.63,200.0,4650.0,4700.0,4911.17,GHOST,0.0,0,2026-01-19 17:13:00,False,False,GHOST
2026-01-13 16:50:00,2026-01-13,new_york,buy,momentum_breakout,72.2,STRONG,True,[],4628.78,premium,bearish,False,73.11,81.3,16.88196,False,,4628.48,4615.27,132.1,4697.35,4730.55,4742.93,GHOST,0.0,0,2026-01-19 17:13:00,False,False,GHOST
2026-01-19 20:25:00,2026-01-19,new_york,buy,momentum_breakout,73.1,STRONG,True,[],4678.61,premium,bullish,False,63.78,81.3,13.90861,False,,4678.31,4667.86,104.5,4714.14,4730.55,4785.37,SL_HIT,-104.5,60,2026-01-19 21:27:00,False,False,LOSS
2026-01-20 10:05:00,2026-01-20,london,buy,momentum_breakout,75.8,STRONG,True,[],4721.94,premium,bullish,False,76.1,81.3,13.98372,False,,4721.64,4710.75,108.9,4750.0,4785.37,4911.17,OPEN_AT_END,1102.5,2000,2026-01-21 20:25:00,True,True,WIN
2026-01-20 16:00:00,2026-01-20,new_york,buy,momentum_breakout,77.4,STRONG,True,[],4742.21,premium,bullish,False,64.37,81.3,14.26436,False,,4741.91,4721.91,200.0,4800.0,4850.0,4911.17,RUNNER_STOPPED,580.9,1714,2026-01-21 21:35:00,True,True,WIN
2026-01-23 15:50:00,2026-01-23,overlap,buy,momentum_breakout,76.4,STRONG,True,[],4938.22,premium,bearish,False,55.33,81.3,22.41728,False,,4937.92,4917.92,200.0,4993.53,5051.22,5161.82,RUNNER_STOPPED,556.1,1845,2026-01-26 23:36:00,True,True,WIN
2026-01-28 19:55:00,2026-01-28,new_york,buy,momentum_breakout,70.8,STRONG,True,[],5300.9,premium,bullish,False,58.25,81.3,30.91635,False,,5300.6,5280.6,200.0,5422.79,5479.57,5450.6,SL_HIT,-200.0,36,2026-01-28 20:32:00,False,False,LOSS
2026-01-29 14:15:00,2026-01-29,overlap,buy,momentum_breakout,75.6,STRONG,True,[],5535.68,premium,bullish,False,54.89,81.3,48.26009,False,,5535.38,5515.38,200.0,5592.46,5765.97,5685.38,SL_HIT,-200.0,55,2026-01-29 15:12:00,False,False,LOSS
