time,date,session,direction,model,score,grade,should_trade,kill_switches,price,price_zone,sweep,sweep_fresh,rsi_m15,cot_pct,atr,news_blocked,news_reason,entry,sl,sl_pips,tp1,tp2,tp3,result,pnl_pips,bars_held,exit_time,tp1_hit,tp2_hit,tag
2026-03-25 21:10:00,2026-03-25,new_york,buy,momentum_breakout,70.8,STRONG,True,[],4498.59,discount,bullish,True,28.06,82.4,38.20934,False,,4498.89,4487.13,117.6,4537.3,4557.5,4599.74,SPIKE_SL,-117.6,1,2026-03-25 21:12:00,False,False,SPIKE_SL
2026-03-31 12:30:00,2026-03-31,london,buy,silver_bullet,71.0,STRONG,True,[],4557.93,premium,bullish,True,50.55,82.4,30.74099,False,,4557.13,4541.26,158.7,4600.0,4629.88,4693.6,SL_HIT,-158.7,67,2026-03-31 13:38:00,False,False,LOSS
2026-03-31 20:10:00,2026-03-31,new_york,buy,momentum_breakout,73.3,STRONG,True,[],4640.85,premium,bullish,True,66.49,82.4,33.20347,False,,4641.15,4630.89,102.6,4670.31,4693.6,4735.84,OPEN_AT_END,138.4,49,2026-03-31 20:59:00,False,False,OPEN
