time,date,session,direction,model,score,grade,should_trade,kill_switches,price,price_zone,sweep,sweep_fresh,rsi_m15,cot_pct,atr,news_blocked,news_reason,entry,sl,sl_pips,tp1,tp2,tp3,result,pnl_pips,bars_held,exit_time,tp1_hit,tp2_hit,tag
2026-01-02 10:00:00,2026-01-02,london,buy,choch_reversal,83.7,STRONG,True,[],4382.83,discount,bullish,True,67.15,80.7,17.56924,False,,4365.91,4360.14,57.7,4381.74,4398.61,4421.0,GHOST,0.0,0,2026-01-07 20:11:00,False,False,GHOST
2026-01-02 15:50:00,2026-01-02,overlap,buy,fvg_continuation,80.1,STRONG,True,[],4368.78,discount,bullish,False,35.17,80.7,17.58939,False,,4364.4,4360.53,38.7,4383.32,4398.61,4421.0,GHOST,0.0,0,2026-01-07 20:11:00,False,False,GHOST
2026-01-05 10:45:00,2026-01-05,london,buy,momentum_breakout,85.4,STRONG,True,[],4431.28,premium,bullish,False,69.12,80.7,17.35806,False,,4431.58,4426.07,55.1,4450.0,4478.79,4500.0,GHOST,0.0,0,2026-01-07 20:11:00,False,False,GHOST
2026-01-05 19:00:00,2026-01-05,new_york,buy,fvg_continuation,78.1,STRONG,True,[],4437.8,premium,bearish,False,58.28,80.7,18.04572,False,,4433.35,4427.3,60.5,4450.0,4478.79,4500.0,GHOST,0.0,0,2026-01-07 20:11:00,False,False,GHOST
2026-01-06 11:00:00,2026-01-06,london,buy,fvg_continuation,74.2,STRONG,True,[],4465.82,premium,bullish,False,56.93,80.7,16.1241,False,,4463.95,4461.04,29.1,4483.65,4500.0,4511.47,SL_HIT,-29.1,1,2026-01-07 20:12:00,False,False,LOSS
2026-01-09 10:00:00,2026-01-09,london,buy,fvg_continuation,79.5,STRONG,True,[],4469.1,premium,bullish,False,54.39,80.7,13.36847,False,,4465.24,4462.74,25.0,4477.42,4500.0,4511.47,GHOST,0.0,3,2026-01-09 10:04:00,False,False,GHOST
2026-01-09 14:55:00,2026-01-09,overlap,buy,momentum_breakout,73.4,STRONG,True,[],4465.78,premium,bullish,False,42.89,80.7,12.75973,False,,4466.08,4461.95,41.3,4477.63,4500.0,4511.47,SL_HIT,-41.3,34,2026-01-09 15:30:00,False,False,LOSS
2026-01-09 18:10:00,2026-01-09,new_york,buy,fvg_continuation,70.0,STRONG,True,[],4504.01,premium,bearish,False,63.75,80.7,15.3439,False,,4502.86,4498.04,48.2,4517.51,4524.68,4549.92,SL_HIT,-48.2,97,2026-01-09 19:48:00,False,False,LOSS
2026-01-14 17:15:00,2026-01-14,new_york,sell,structural_breakout,71.9,STRONG,True,[],4618.73,premium,bearish,True,35.77,80.7,17.09845,False,,4617.51,4620.01,25.0,4600.0,4569.6,4558.92,SPIKE_SL,-25.0,1,2026-01-14 17:17:00,False,False,SPIKE_SL
2026-01-19 20:25:00,2026-01-19,new_york,buy,momentum_breakout,73.6,STRONG,True,[],4678.61,premium,bullish,False,63.78,80.7,13.90861,False,,4678.91,4674.44,44.7,4690.69,4700.0,4730.55,SL_HIT,-44.7,38,2026-01-19 21:04:00,False,False,LOSS
2026-01-20 16:40:00,2026-01-20,new_york,buy,momentum_breakout,81.0,STRONG,True,[],4736.67,premium,bullish,False,59.14,80.7,14.85905,False,,4736.97,4732.21,47.6,4750.0,4770.31,4785.37,SL_HIT,-47.6,42,2026-01-20 17:23:00,False,False,LOSS
2026-01-23 16:50:00,2026-01-23,new_york,buy,momentum_breakout,72.3,STRONG,True,[],4953.61,premium,bullish,False,56.37,80.7,22.50247,False,,4953.91,4946.86,70.5,4993.53,5000.0,5050.0,SL_HIT,-70.5,7,2026-01-23 16:58:00,False,False,LOSS
2026-01-26 19:20:00,2026-01-26,new_york,buy,fvg_continuation,71.4,STRONG,True,[],5088.39,premium,bearish,False,51.87,80.7,25.9823,False,,5084.48,5079.47,50.1,5100.0,5108.0,5150.0,BE_STOPPED,0.0,46,2026-01-26 20:10:00,True,False,BE
2026-01-27 15:05:00,2026-01-27,overlap,sell,structural_breakout,70.3,STRONG,True,[],5085.8,premium,bearish,True,55.29,80.7,27.01901,False,,5081.4,5083.9,25.0,5069.21,5050.0,5037.05,SL_HIT,-25.0,1,2026-01-27 15:07:00,False,False,LOSS
