time,date,session,direction,model,score,grade,should_trade,kill_switches,price,price_zone,sweep,sweep_fresh,rsi_m15,cot_pct,atr,news_blocked,news_reason,entry,sl,sl_pips,tp1,tp2,tp3,result,pnl_pips,bars_held,exit_time,tp1_hit,tp2_hit,tag
2026-03-13 14:00:00,2026-03-13,overlap,buy,momentum_breakout,76.4,STRONG,True,[],5113.1,discount,bullish,True,60.64,82.4,20.00377,False,,5113.4,5107.1,63.0,5132.61,5150.0,5162.27,SL_HIT,-63.0,14,2026-03-13 14:15:00,False,False,LOSS
2026-03-13 17:00:00,2026-03-13,new_york,sell,momentum_breakout,77.0,STRONG,True,[],5054.88,discount,bearish,True,23.8,82.4,23.87713,False,,5054.58,5062.04,74.6,5028.44,5014.71,4995.97,SL_HIT,-74.6,4,2026-03-13 17:09:00,False,False,LOSS
2026-03-16 08:15:00,2026-03-16,london,buy,momentum_breakout,79.3,STRONG,True,[],5030.88,discount,bullish,True,56.68,82.4,26.67871,False,,5031.18,5022.88,83.0,5052.39,5081.33,5095.12,SL_HIT,-83.0,18,2026-03-16 08:40:00,False,False,LOSS
2026-03-16 14:30:00,2026-03-16,overlap,buy,momentum_breakout,71.7,STRONG,True,[],5022.05,discount,bullish,True,59.69,82.4,26.35846,False,,5022.35,5014.14,82.1,5050.0,5081.33,5087.61,SL_HIT,-82.1,20,2026-03-16 14:51:00,False,False,LOSS
2026-03-16 15:00:00,2026-03-16,overlap,buy,liquidity_grab_bos,75.0,STRONG,True,[],5018.75,discount,bullish,True,57.94,82.4,26.35846,False,,5010.16,5001.75,84.1,5036.17,5050.0,5081.33,GHOST,0.0,15,2026-03-16 15:16:00,False,False,GHOST
2026-03-16 15:15:00,2026-03-16,overlap,buy,liquidity_grab_bos,75.0,STRONG,True,[],5024.32,discount,bullish,True,59.03,82.4,25.94214,False,,5010.16,5001.88,82.8,5036.17,5050.0,5081.33,GHOST,0.0,0,2026-03-16 15:16:00,False,False,GHOST
2026-03-16 15:30:00,2026-03-16,overlap,buy,liquidity_grab_bos,76.5,STRONG,True,[],5026.34,discount,bullish,True,58.3,82.4,25.94214,False,,5010.16,5001.88,82.8,5036.17,5050.0,5081.33,GHOST,0.0,3,2026-03-16 15:34:00,False,False,GHOST
2026-03-16 15:45:00,2026-03-16,overlap,buy,structural_breakout,82.5,STRONG,True,[],5028.37,discount,bullish,True,62.74,82.4,25.94214,False,,5031.55,5029.05,25.0,5050.0,5081.33,5087.61,SL_HIT,-25.0,2,2026-03-16 15:48:00,False,False,LOSS
2026-03-16 16:00:00,2026-03-16,new_york,buy,structural_breakout,80.5,STRONG,True,[],5032.58,discount,bullish,True,61.59,82.4,25.94214,False,,5032.88,5012.88,200.0,5087.61,5128.53,5213.99,SL_HIT,-200.0,29,2026-03-16 16:30:00,False,False,LOSS
2026-03-16 18:15:00,2026-03-16,new_york,buy,liquidity_grab_bos,73.1,STRONG,True,[],4988.11,discount,bullish,True,45.25,82.4,27.07316,False,,5010.16,5001.54,86.2,5036.17,5050.0,5081.33,SPIKE_SL,-86.2,1,2026-03-16 18:17:00,False,False,SPIKE_SL
