time,date,session,direction,model,score,grade,should_trade,kill_switches,price,price_zone,sweep,sweep_fresh,rsi_m15,cot_pct,atr,news_blocked,news_reason,result,pnl_pips,bars_held,exit_time,tp1_hit,tp2_hit,entry,sl,sl_pips,tp1,tp2,tp3,tag
2026-01-02 10:00:00,2026-01-02,london,buy,choch_reversal,84.2,STRONG,True,[],4382.83,discount,bullish,True,67.15,81.6,17.56924,True,HIGH IMPACT: Federal Funds Rate (USD) at 2026-04-29 18:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-01-02 10:05:00,2026-01-02,london,buy,choch_reversal,84.2,STRONG,True,[],4383.79,discount,bullish,True,68.84,81.6,17.51643,True,HIGH IMPACT: Federal Funds Rate (USD) at 2026-04-29 18:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-01-02 10:10:00,2026-01-02,london,buy,choch_reversal,84.2,STRONG,True,[],4385.41,discount,bullish,True,68.84,81.6,17.51643,True,HIGH IMPACT: Federal Funds Rate (USD) at 2026-04-29 18:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-01-02 10:15:00,2026-01-02,london,buy,choch_reversal,84.2,STRONG,True,[],4384.0,discount,bullish,True,68.84,81.6,17.51643,True,HIGH IMPACT: Federal Funds Rate (USD) at 2026-04-29 18:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-01-02 13:30:00,2026-01-02,overlap,buy,fvg_continuation,80.7,STRONG,True,[],4393.52,discount,bullish,False,66.61,81.6,16.06337,True,HIGH IMPACT: Federal Funds Rate (USD) at 2026-04-29 18:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-01-02 13:35:00,2026-01-02,overlap,buy,fvg_continuation,80.0,STRONG,True,[],4393.28,discount,bullish,False,67.23,81.6,16.06337,True,HIGH IMPACT: Federal Funds Rate (USD) at 2026-04-29 18:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-01-02 13:40:00,2026-01-02,overlap,buy,fvg_continuation,80.0,STRONG,True,[],4394.16,discount,bullish,False,67.23,81.6,16.06337,True,HIGH IMPACT: Federal Funds Rate (USD) at 2026-04-29 18:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-01-02 16:00:00,2026-01-02,new_york,buy,choch_reversal,75.1,STRONG,True,[],4368.43,discount,bullish,False,35.17,81.6,17.58939,True,HIGH IMPACT: Federal Funds Rate (USD) at 2026-04-29 18:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-01-02 16:15:00,2026-01-02,new_york,buy,choch_reversal,72.6,STRONG,True,[],4369.57,discount,bullish,False,39.51,81.6,18.15229,True,HIGH IMPACT: Federal Funds Rate (USD) at 2026-04-29 18:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-01-02 16:25:00,2026-01-02,new_york,buy,choch_reversal,72.6,STRONG,True,[],4369.69,discount,bullish,False,38.29,81.6,18.15229,True,HIGH IMPACT: Federal Funds Rate (USD) at 2026-04-29 18:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-01-02 16:35:00,2026-01-02,new_york,buy,choch_reversal,76.6,STRONG,True,[],4355.11,discount,bullish,False,31.71,81.6,18.15229,True,HIGH IMPACT: Federal Funds Rate (USD) at 2026-04-29 18:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-01-02 16:40:00,2026-01-02,new_york,buy,choch_reversal,76.6,STRONG,True,[],4352.4,discount,bullish,False,31.71,81.6,18.15229,True,HIGH IMPACT: Federal Funds Rate (USD) at 2026-04-29 18:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-01-02 16:45:00,2026-01-02,new_york,buy,choch_reversal,77.1,STRONG,True,[],4358.53,discount,bullish,False,31.71,81.6,18.15229,True,HIGH IMPACT: Federal Funds Rate (USD) at 2026-04-29 18:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-01-02 16:50:00,2026-01-02,new_york,buy,choch_reversal,77.1,STRONG,True,[],4359.13,discount,bearish,False,30.33,81.6,18.15229,True,HIGH IMPACT: Federal Funds Rate (USD) at 2026-04-29 18:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-01-02 16:55:00,2026-01-02,new_york,buy,choch_reversal,77.1,STRONG,True,[],4355.97,discount,bearish,False,30.33,81.6,18.15229,True,HIGH IMPACT: Federal Funds Rate (USD) at 2026-04-29 18:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-01-02 17:00:00,2026-01-02,new_york,buy,choch_reversal,77.1,STRONG,True,[],4349.64,discount,bearish,False,30.33,81.6,18.15229,True,HIGH IMPACT: Federal Funds Rate (USD) at 2026-04-29 18:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-01-02 17:05:00,2026-01-02,new_york,buy,choch_reversal,79.1,STRONG,True,[],4344.88,discount,bearish,False,25.2,81.6,18.76641,True,HIGH IMPACT: Federal Funds Rate (USD) at 2026-04-29 18:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-01-02 17:10:00,2026-01-02,new_york,buy,choch_reversal,79.1,STRONG,True,[],4341.48,discount,bearish,False,25.2,81.6,18.76641,True,HIGH IMPACT: Federal Funds Rate (USD) at 2026-04-29 18:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
2026-01-02 17:15:00,2026-01-02,new_york,buy,choch_reversal,77.1,STRONG,True,[],4338.88,discount,bearish,False,25.2,81.6,18.76641,True,HIGH IMPACT: Federal Funds Rate (USD) at 2026-04-29 18:00,NEWS_BLOCKED,0.0,0,,False,False,,,0.0,,,,BLOCKED
