time,date,session,direction,model,score,grade,should_trade,kill_switches,price,price_zone,sweep,sweep_fresh,rsi_m15,cot_pct,atr,news_blocked,news_reason,entry,sl,sl_pips,tp1,tp2,tp3,result,pnl_pips,bars_held,exit_time,tp1_hit,tp2_hit,tag
2026-03-02 16:40:00,2026-03-02,new_york,sell,structural_breakout,70.2,STRONG,True,[],5350.26,premium,bearish,True,36.45,81.6,31.83768,False,,5340.12,5342.62,25.0,5320.95,5300.0,5281.03,SL_HIT,-25.0,1,2026-03-02 16:42:00,False,False,LOSS
2026-03-03 13:45:00,2026-03-03,overlap,buy,london_sweep_reverse,77.8,STRONG,True,[],5136.45,premium,bullish,True,16.77,81.6,47.75623,False,,5120.54,5105.71,148.3,5175.21,5200.0,5237.96,GHOST,0.0,8,2026-03-03 13:54:00,False,False,GHOST
2026-03-04 10:05:00,2026-03-04,london,buy,structural_breakout,78.8,STRONG,True,[],5154.23,discount,bullish,True,50.45,81.6,43.89714,False,,5168.82,5166.32,25.0,5183.48,5191.09,5215.89,SPIKE_SL,-25.0,1,2026-03-04 10:07:00,False,False,SPIKE_SL
2026-03-04 14:20:00,2026-03-04,overlap,buy,structural_breakout,76.5,STRONG,True,[],5181.88,discount,bullish,False,50.39,81.6,39.9527,False,,5191.59,5189.09,25.0,5202.58,5215.89,5237.96,SL_HIT,-25.0,1,2026-03-04 14:22:00,False,False,LOSS
2026-03-04 21:45:00,2026-03-04,new_york,buy,structural_breakout,71.9,STRONG,True,[],5132.68,discount,bullish,True,41.95,81.6,36.16721,False,,5131.8,5129.3,25.0,5150.0,5160.6,5183.48,SL_HIT,-25.0,24,2026-03-04 22:10:00,False,False,LOSS
2026-03-05 13:30:00,2026-03-05,overlap,buy,fvg_continuation,74.4,STRONG,True,[],5162.6,discount,bullish,False,50.58,81.6,27.34535,False,,5162.5,5154.75,77.5,5183.48,5200.0,5237.96,SL_HIT,-77.5,89,2026-03-05 15:00:00,False,False,LOSS
2026-03-05 17:45:00,2026-03-05,new_york,buy,structural_breakout,74.6,STRONG,True,[],5085.83,discount,bullish,True,26.28,81.6,32.76613,False,,5086.13,5082.8,33.3,5100.0,5119.13,5140.1,BE_STOPPED,0.0,20,2026-03-05 18:06:00,True,False,BE
2026-03-05 18:45:00,2026-03-05,new_york,buy,structural_breakout,73.6,STRONG,True,[],5075.14,discount,bullish,True,32.59,81.6,34.01783,False,,5075.44,5059.95,154.9,5119.13,5150.0,5195.01,SL_HIT,-154.9,50,2026-03-05 19:36:00,False,False,LOSS
2026-03-09 16:25:00,2026-03-09,new_york,sell,structural_breakout,72.7,STRONG,True,[],5080.74,discount,bullish,False,43.98,81.6,35.49848,False,,5079.34,5081.84,25.0,5062.82,5050.88,5023.69,SL_HIT,-25.0,2,2026-03-09 16:28:00,False,False,LOSS
2026-03-09 21:35:00,2026-03-09,new_york,buy,structural_breakout,82.5,STRONG,True,[],5129.19,discount,bullish,False,66.39,81.6,31.86522,False,,5133.11,5130.61,25.0,5150.0,5176.07,5183.48,SL_HIT,-25.0,1,2026-03-09 21:37:00,False,False,LOSS
2026-03-10 10:00:00,2026-03-10,london,buy,choch_reversal,80.4,STRONG,True,[],5181.48,discount,bullish,True,62.75,81.6,24.87429,False,,5169.47,5161.51,79.6,5195.72,5215.89,5233.8,GHOST,0.0,11,2026-03-10 10:12:00,False,False,GHOST
2026-03-10 15:05:00,2026-03-10,overlap,buy,double_top_bottom_trap,72.1,STRONG,True,[],5197.13,discount,bullish,False,65.35,81.6,25.0536,False,,5181.44,5161.44,200.0,5233.8,5281.03,5393.5,GHOST,0.0,13,2026-03-10 15:19:00,False,False,GHOST
