time,date,session,direction,model,score,grade,should_trade,kill_switches,price,price_zone,sweep,sweep_fresh,rsi_m15,cot_pct,atr,news_blocked,news_reason,entry,sl,sl_pips,tp1,tp2,tp3,result,pnl_pips,bars_held,exit_time,tp1_hit,tp2_hit,tag
2026-03-03 13:15:00,2026-03-03,overlap,buy,htf_level_reaction,81.3,STRONG,True,[],5190.96,premium,bullish,True,23.64,80.7,47.75623,False,,5281.53,5266.7,148.3,5320.95,5350.0,5393.5,SL_HIT,-148.3,1,2026-03-03 13:17:00,False,False,LOSS
2026-03-03 13:45:00,2026-03-03,overlap,buy,london_sweep_reverse,80.3,STRONG,True,[],5136.45,premium,bullish,True,16.77,80.7,47.75623,False,,5120.54,5105.71,148.3,5175.21,5200.0,5237.96,GHOST,0.0,8,2026-03-03 13:54:00,False,False,GHOST
2026-03-04 08:05:00,2026-03-04,london,buy,momentum_breakout,71.3,STRONG,True,[],5133.23,discount,bullish,True,44.61,80.7,46.71882,False,,5133.53,5119.21,143.2,5181.03,5200.0,5243.86,RUNNER_STOPPED,475.0,271,2026-03-04 12:37:00,True,True,WIN
2026-03-04 13:50:00,2026-03-04,overlap,buy,liquidity_grab_bos,73.3,STRONG,True,[],5190.37,discount,bullish,True,60.48,80.7,39.18983,False,,5186.38,5175.46,109.2,5215.89,5237.96,5281.03,SL_HIT,-109.2,11,2026-03-04 14:27:00,False,False,LOSS
2026-03-04 15:55:00,2026-03-04,overlap,buy,liquidity_grab_bos,74.8,STRONG,True,[],5175.05,discount,bullish,True,44.97,80.7,39.15894,False,,5176.27,5172.8,34.7,5191.09,5200.0,5217.49,SPIKE_SL,-34.7,1,2026-03-04 15:57:00,False,False,SPIKE_SL
2026-03-05 07:50:00,2026-03-05,london,buy,liquidity_grab_bos,73.1,STRONG,True,[],5161.15,discount,bullish,True,36.19,80.7,28.89567,False,,5157.96,5144.75,132.1,5195.01,5217.49,5265.27,SL_HIT,-132.1,16,2026-03-05 08:07:00,False,False,LOSS
2026-03-05 13:35:00,2026-03-05,overlap,buy,liquidity_grab_bos,81.2,STRONG,True,[],5159.97,discount,bullish,True,49.26,80.7,27.34535,False,,5160.22,5144.75,154.7,5200.0,5237.96,5281.03,SL_HIT,-154.7,100,2026-03-05 15:16:00,False,False,LOSS
2026-03-10 07:30:00,2026-03-10,london,buy,liquidity_grab_bos,81.0,STRONG,True,[],5170.87,discount,bullish,True,61.23,80.7,26.26776,False,,5167.26,5164.76,25.0,5183.48,5195.72,5215.89,SL_HIT,-25.0,95,2026-03-10 09:21:00,False,False,LOSS
2026-03-10 10:00:00,2026-03-10,london,buy,momentum_breakout,76.5,STRONG,True,[],5181.48,discount,bullish,True,62.75,80.7,24.87429,False,,5181.78,5174.02,77.6,5215.89,5233.8,5243.86,SL_HIT,-77.6,148,2026-03-10 12:29:00,False,False,LOSS
2026-03-10 12:40:00,2026-03-10,london,buy,momentum_breakout,82.1,STRONG,True,[],5163.01,discount,bullish,True,44.71,80.7,23.69784,False,,5163.31,5155.9,74.1,5183.48,5200.0,5219.09,BE_STOPPED,0.0,86,2026-03-10 14:07:00,True,False,BE
2026-03-10 15:45:00,2026-03-10,overlap,buy,liquidity_grab_bos,73.5,STRONG,True,[],5203.02,discount,bullish,True,63.98,80.7,25.0536,False,,5204.97,5190.5,144.7,5243.86,5281.03,5319.45,SL_HIT,-144.7,21,2026-03-10 16:07:00,False,False,LOSS
2026-03-17 14:45:00,2026-03-17,overlap,buy,fvg_continuation,70.7,STRONG,True,[],5013.8,discount,bullish,False,54.06,80.7,20.50529,False,,5013.19,5004.16,90.3,5038.06,5074.24,5089.06,SL_HIT,-90.3,104,2026-03-17 16:31:00,False,False,LOSS
