time,date,session,direction,model,score,grade,should_trade,kill_switches,price,price_zone,sweep,sweep_fresh,rsi_m15,cot_pct,atr,news_blocked,news_reason,entry,sl,sl_pips,tp1,tp2,tp3,result,pnl_pips,bars_held,exit_time,tp1_hit,tp2_hit,tag
2026-03-03 13:15:00,2026-03-03,overlap,buy,htf_level_reaction,81.3,STRONG,True,[],5190.96,premium,bullish,True,23.64,80.7,47.75623,False,,5281.53,5266.7,148.3,5320.95,5350.0,5393.5,SL_HIT,-148.3,1,2026-03-03 13:17:00,False,False,LOSS
2026-03-03 13:45:00,2026-03-03,overlap,buy,london_sweep_reverse,80.3,STRONG,True,[],5136.45,premium,bullish,True,16.77,80.7,47.75623,False,,5120.54,5105.71,148.3,5175.21,5200.0,5237.96,GHOST,0.0,8,2026-03-03 13:54:00,False,False,GHOST
2026-03-03 18:00:00,2026-03-03,new_york,buy,liquidity_grab_bos,71.9,STRONG,True,[],5100.7,discount,bullish,True,38.22,80.7,64.35733,False,,5261.27,5241.46,198.1,5320.95,5379.88,5419.26,SL_HIT,-198.1,1,2026-03-03 18:02:00,False,False,LOSS
2026-03-03 18:10:00,2026-03-03,new_york,buy,liquidity_grab_bos,75.1,STRONG,True,[],5107.74,discount,bullish,True,40.94,80.7,62.91752,False,,5261.27,5241.89,193.8,5320.95,5379.88,5419.26,SL_HIT,-193.8,1,2026-03-03 18:12:00,False,False,LOSS
2026-03-03 19:00:00,2026-03-03,new_york,buy,htf_level_reaction,70.2,STRONG,True,[],5094.64,discount,bullish,True,40.94,80.7,62.91752,False,,5050.5,5031.12,193.8,5100.0,5150.0,5215.89,GHOST,0.0,0,2026-03-03 19:01:00,False,False,GHOST
2026-03-04 08:05:00,2026-03-04,london,buy,momentum_breakout,71.3,STRONG,True,[],5133.23,discount,bullish,True,44.61,80.7,46.71882,False,,5133.53,5119.21,143.2,5181.03,5200.0,5243.86,RUNNER_STOPPED,475.0,271,2026-03-04 12:37:00,True,True,WIN
2026-03-04 13:50:00,2026-03-04,overlap,buy,liquidity_grab_bos,73.3,STRONG,True,[],5190.37,discount,bullish,True,60.48,80.7,39.18983,False,,5186.38,5175.46,109.2,5215.89,5237.96,5281.03,SL_HIT,-109.2,11,2026-03-04 14:27:00,False,False,LOSS
2026-03-04 15:55:00,2026-03-04,overlap,buy,liquidity_grab_bos,74.8,STRONG,True,[],5175.05,discount,bullish,True,44.97,80.7,39.15894,False,,5176.27,5172.8,34.7,5191.09,5200.0,5217.49,SPIKE_SL,-34.7,1,2026-03-04 15:57:00,False,False,SPIKE_SL
2026-03-05 07:50:00,2026-03-05,london,buy,liquidity_grab_bos,73.1,STRONG,True,[],5161.15,discount,bullish,True,36.19,80.7,28.89567,False,,5157.96,5144.75,132.1,5195.01,5217.49,5265.27,SL_HIT,-132.1,16,2026-03-05 08:07:00,False,False,LOSS
2026-03-05 13:35:00,2026-03-05,overlap,buy,liquidity_grab_bos,81.2,STRONG,True,[],5159.97,discount,bullish,True,49.26,80.7,27.34535,False,,5160.22,5144.75,154.7,5200.0,5237.96,5281.03,SL_HIT,-154.7,100,2026-03-05 15:16:00,False,False,LOSS
2026-03-05 17:45:00,2026-03-05,new_york,buy,liquidity_grab_bos,74.1,STRONG,True,[],5085.83,discount,bullish,True,26.28,80.7,32.76613,False,,5084.89,5074.56,103.3,5119.13,5140.1,5171.53,SL_HIT,-103.3,24,2026-03-05 18:10:00,False,False,LOSS
2026-03-05 18:15:00,2026-03-05,new_york,buy,liquidity_grab_bos,73.1,STRONG,True,[],5078.92,discount,bullish,True,33.49,80.7,34.01783,False,,5084.89,5074.18,107.1,5119.13,5140.1,5171.53,SL_HIT,-107.1,1,2026-03-05 18:17:00,False,False,LOSS
2026-03-05 18:25:00,2026-03-05,new_york,buy,liquidity_grab_bos,74.1,STRONG,True,[],5067.21,discount,bullish,True,29.12,80.7,34.01783,False,,5084.89,5074.18,107.1,5119.13,5140.1,5171.53,SPIKE_SL,-107.1,1,2026-03-05 18:27:00,False,False,SPIKE_SL
2026-03-05 18:45:00,2026-03-05,new_york,buy,liquidity_grab_bos,73.1,STRONG,True,[],5075.14,discount,bullish,True,32.59,80.7,34.01783,False,,5084.89,5074.18,107.1,5119.13,5140.1,5171.53,SL_HIT,-107.1,1,2026-03-05 18:47:00,False,False,LOSS
2026-03-05 18:55:00,2026-03-05,new_york,buy,liquidity_grab_bos,72.9,STRONG,True,[],5077.05,discount,bullish,True,35.85,80.7,34.01783,False,,5084.89,5074.18,107.1,5119.13,5140.1,5171.53,SL_HIT,-107.1,2,2026-03-05 18:58:00,False,False,LOSS
2026-03-05 19:05:00,2026-03-05,new_york,buy,liquidity_grab_bos,72.9,STRONG,True,[],5085.21,discount,bullish,True,39.86,80.7,34.05656,False,,5084.89,5074.17,107.2,5119.13,5140.1,5171.53,SL_HIT,-107.2,24,2026-03-05 19:31:00,False,False,LOSS
