time,date,session,direction,model,score,grade,should_trade,kill_switches,price,price_zone,sweep,sweep_fresh,rsi_m15,cot_pct,atr,news_blocked,news_reason,entry,sl,sl_pips,tp1,tp2,tp3,result,pnl_pips,bars_held,exit_time,tp1_hit,tp2_hit,tag
2026-01-02 10:55:00,2026-01-02,london,buy,htf_level_reaction,83.4,STRONG,True,[],4389.89,discount,bullish,False,66.82,81.6,17.51643,False,,4373.79,4368.04,57.5,4398.61,4421.0,4450.0,GHOST,0.0,0,2026-01-08 06:23:00,False,False,GHOST
2026-01-02 15:30:00,2026-01-02,overlap,buy,silver_bullet,72.3,STRONG,True,[],4372.98,discount,bullish,False,40.34,81.6,17.58939,False,,4363.67,4354.38,92.9,4398.61,4421.0,4450.0,GHOST,0.0,0,2026-01-08 06:23:00,False,False,GHOST
2026-01-05 10:45:00,2026-01-05,london,buy,momentum_breakout,84.9,STRONG,True,[],4431.28,premium,bullish,False,69.12,81.6,17.35806,False,,4431.58,4426.07,55.1,4450.0,4478.79,4500.0,SL_HIT,-55.1,28,2026-01-08 07:13:00,False,False,LOSS
2026-01-09 10:00:00,2026-01-09,london,buy,fvg_continuation,79.0,STRONG,True,[],4469.1,premium,bullish,False,54.39,81.6,13.36847,False,,4465.24,4462.74,25.0,4477.42,4500.0,4511.47,GHOST,0.0,3,2026-01-09 10:04:00,False,False,GHOST
2026-01-09 14:55:00,2026-01-09,overlap,buy,momentum_breakout,72.9,STRONG,True,[],4465.78,premium,bullish,False,42.89,81.6,12.75973,False,,4466.08,4461.95,41.3,4477.63,4500.0,4511.47,SL_HIT,-41.3,34,2026-01-09 15:30:00,False,False,LOSS
2026-01-09 18:20:00,2026-01-09,new_york,buy,fvg_continuation,70.0,STRONG,True,[],4503.92,premium,bearish,False,64.1,81.6,15.3439,False,,4498.99,4495.82,31.7,4511.47,4520.44,4549.92,GHOST,0.0,0,2026-01-09 18:21:00,False,False,GHOST
2026-01-19 20:25:00,2026-01-19,new_york,buy,momentum_breakout,73.1,STRONG,True,[],4678.61,premium,bullish,False,63.78,81.6,13.90861,False,,4678.91,4674.44,44.7,4690.69,4700.0,4730.55,SL_HIT,-44.7,38,2026-01-19 21:04:00,False,False,LOSS
2026-01-20 16:40:00,2026-01-20,new_york,buy,momentum_breakout,80.5,STRONG,True,[],4736.67,premium,bullish,False,59.14,81.6,14.85905,False,,4736.97,4732.21,47.6,4750.0,4770.31,4785.37,SL_HIT,-47.6,42,2026-01-20 17:23:00,False,False,LOSS
2026-01-23 16:50:00,2026-01-23,new_york,buy,momentum_breakout,71.8,STRONG,True,[],4953.61,premium,bullish,False,56.37,81.6,22.50247,False,,4953.91,4946.86,70.5,4993.53,5000.0,5050.0,SL_HIT,-70.5,7,2026-01-23 16:58:00,False,False,LOSS
2026-01-26 19:20:00,2026-01-26,new_york,buy,fvg_continuation,70.9,STRONG,True,[],5088.39,premium,bearish,False,51.87,81.6,25.9823,False,,5084.48,5079.47,50.1,5100.0,5108.0,5150.0,BE_STOPPED,0.0,46,2026-01-26 20:10:00,True,False,BE
