time,date,session,direction,model,score,grade,should_trade,kill_switches,price,price_zone,sweep,sweep_fresh,rsi_m15,cot_pct,atr,news_blocked,news_reason,entry,sl,sl_pips,tp1,tp2,tp3,result,pnl_pips,bars_held,exit_time,tp1_hit,tp2_hit,tag
2026-03-03 13:15:00,2026-03-03,overlap,buy,htf_level_reaction,81.3,STRONG,True,[],5190.96,premium,bullish,True,23.64,80.7,47.75623,False,,5281.53,5266.7,148.3,5320.95,5350.0,5393.5,SL_HIT,-148.3,1,2026-03-03 13:17:00,False,False,LOSS
2026-03-03 13:45:00,2026-03-03,overlap,buy,london_sweep_reverse,80.3,STRONG,True,[],5136.45,premium,bullish,True,16.77,80.7,47.75623,False,,5120.54,5105.71,148.3,5175.21,5200.0,5237.96,GHOST,0.0,8,2026-03-03 13:54:00,False,False,GHOST
2026-03-04 08:05:00,2026-03-04,london,buy,momentum_breakout,71.3,STRONG,True,[],5133.23,discount,bullish,True,44.61,80.7,46.71882,False,,5133.53,5119.21,143.2,5181.03,5200.0,5243.86,RUNNER_STOPPED,475.0,271,2026-03-04 12:37:00,True,True,WIN
2026-03-10 10:40:00,2026-03-10,london,buy,momentum_breakout,80.6,STRONG,True,[],5191.48,discount,bullish,True,67.68,80.7,24.53684,False,,5191.78,5184.12,76.6,5215.89,5233.8,5249.76,SL_HIT,-76.6,15,2026-03-10 10:56:00,False,False,LOSS
2026-03-10 11:15:00,2026-03-10,london,buy,momentum_breakout,80.6,STRONG,True,[],5185.49,discount,bullish,True,63.48,80.7,23.40921,False,,5185.79,5178.47,73.2,5215.89,5233.8,5243.86,SL_HIT,-73.2,48,2026-03-10 12:04:00,False,False,LOSS
2026-03-10 12:40:00,2026-03-10,london,buy,momentum_breakout,76.6,STRONG,True,[],5163.01,discount,bullish,True,44.71,80.7,23.69784,False,,5163.31,5155.9,74.1,5183.48,5200.0,5219.09,BE_STOPPED,0.0,86,2026-03-10 14:07:00,True,False,BE
2026-03-17 14:45:00,2026-03-17,overlap,buy,fvg_continuation,71.2,STRONG,True,[],5013.8,discount,bullish,False,54.06,80.7,20.50529,False,,5013.19,5004.16,90.3,5038.06,5074.24,5089.06,SL_HIT,-90.3,104,2026-03-17 16:31:00,False,False,LOSS
